Left Field,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
David Peralta,6,L/L,"6' 1""",220,08/14/1987,80,88,58,65,52,78,81,43,86,47,10,,,,,
Pavin Smith,26,L/L,"6' 2""",210,02/06/1996,61,53,45,57,50,49,59,49,48,42,14,,,,,
Daulton Varsho,12,L/R,"5' 10""",205,07/02/1996,63,55,47,46,35,35,62,49,61,69,54,,,,,
Jon Jay,9,L/L,"5' 11""",200,03/15/1985,57,75,70,31,26,73,50,35,55,14,10,,,,,
Tim Locastro,16,R/R,"6' 1""",195,07/14/1992,77,60,43,42,33,59,74,35,73,99,99,,,,,
Center Field,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Daulton Varsho,12,L/R,"5' 10""",205,07/02/1996,63,55,47,46,35,35,62,49,61,69,54,,,,,
Ketel Marte,4,S/R,"6' 1""",210,10/12/1993,81,62,99,56,69,88,79,78,82,62,17,,,,,
Tim Locastro,16,R/R,"6' 1""",195,07/14/1992,77,60,43,42,33,59,74,35,73,99,99,,,,,
Jon Jay,9,L/L,"5' 11""",200,03/15/1985,57,75,70,31,26,73,50,35,55,14,10,,,,,
Right Field,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Kole Calhoun,56,L/L,"5' 10""",210,10/14/1987,79,55,30,95,65,54,72,72,78,31,12,,,,,
Jon Jay,9,L/L,"5' 11""",200,03/15/1985,57,75,70,31,26,73,50,35,55,14,10,,,,,
Tim Locastro,16,R/R,"6' 1""",195,07/14/1992,77,60,43,42,33,59,74,35,73,99,99,,,,,
Josh Rojas,10,L/R,"6' 1""",200,06/30/1994,71,45,57,48,40,42,78,69,81,65,46,,,,,
Designated Hitter,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
Christian Walker,53,R/R,"6' 0""",210,03/28/1991,77,74,55,69,58,55,78,49,79,51,15,,,,,
Pavin Smith,26,L/L,"6' 2""",210,02/06/1996,61,53,45,57,50,49,59,49,48,42,14,,,,,
Daulton Varsho,12,L/R,"5' 10""",205,07/02/1996,63,55,47,46,35,35,62,49,61,69,54,,,,,
Kole Calhoun,56,L/L,"5' 10""",210,10/14/1987,79,55,30,95,65,54,72,72,78,31,12,,,,,
Bullpen,NUM,B/T,HT,WT,DOB,OVERALL,H/9,K/9,BB/9,HR/9,STAMINA,VELOCITY,CONTROL,BREAK,FIELDING,BUNTING,REPERTOIRE,,,,
Junior Guerra,41,R/R,"6' 0""",235,01/16/1985,66,71,67,45,50,42,87,48,94,49,83,4SFB,2SFB,SPL,CB,
Hector Rondón,28,R/R,"6' 3""",225,02/26/1988,69,68,62,62,57,24,97,57,77,57,63,4SFB,SL,2SFB,CH,
Stefan Crichton,58,R/R,"6' 3""",205,02/29/1992,66,45,60,70,62,27,73,44,61,38,64,4SFB,SL,CH,2SFB,
Yoan López,50,R/R,"6' 3""",205,01/02/1993,67,74,55,73,38,23,83,59,72,48,64,4SFB,SL,CH,,
Riley Smith,46,R/R,"6' 1""",175,01/15/1995,62,54,56,59,49,77,68,48,67,20,50,4SFB,SL,CH,2SFB,
Keury Mella,64,R/R,"6' 2""",230,08/02/1993,51,53,44,40,38,50,74,51,56,44,67,4SFB,SLV,CH,2SFB,
Travis Bergen,47,L/L,"6' 1""",215,10/08/1993,51,44,43,43,53,42,64,46,58,48,37,4SFB,SL,CUT,CH,
Taylor Clarke,45,R/R,"6' 4""",220,05/13/1993,58,53,48,43,56,75,77,46,59,38,38,4SFB,SL,CH,CB,2SFB
Taylor Widener,57,L/R,"6' 0""",230,10/24/1994,60,58,58,45,47,78,70,49,59,35,21,4SFB,SL,CH,2SFB,
Silvino Bracho,61,R/R,"5' 10""",190,07/17/1992,65,65,68,58,44,24,76,56,65,54,63,4SFB,SL,CB,2SFB,
exit,,,,,,,,,,,,,,,,,,,,,
