,Nico Hoerner,2,R/R,"6' 1""",200,05/13/1997,69,62,64,42,40,75,60,50,60,75,46,,,,,
,Ildemaro Vargas,16,S/R,"6' 0""",180,07/16/1991,70,53,59,40,52,76,65,57,68,53,3,,,,,
Shortstop,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Javier Báez,9,R/R,"6' 0""",190,12/01/1992,91,69,87,65,86,47,92,98,95,73,38,,,,,
,Nico Hoerner,2,R/R,"6' 1""",200,05/13/1997,69,62,64,42,40,75,60,50,60,75,46,,,,,
,David Bote,13,R/R,"6' 1""",205,04/07/1993,77,61,62,58,57,41,75,69,79,58,13,,,,,
Left Field,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Kyle Schwarber,12,L/R,"6' 0""",225,03/05/1993,82,55,35,97,72,34,69,66,73,50,6,,,,,
,Ian Happ,8,S/R,"6' 0""",205,08/12/1994,81,76,78,90,58,47,64,51,66,61,23,,,,,
,Cameron Maybin,15,R/R,"6' 3""",215,04/04/1987,70,60,50,58,45,48,71,36,72,75,60,,,,,
Center Field,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Ian Happ,8,S/R,"6' 0""",205,08/12/1994,81,76,78,90,58,47,64,51,66,61,23,,,,,
,Billy Hamilton,6,S/R,"6' 0""",155,09/09/1990,74,54,33,30,30,53,84,66,85,87,99,,,,,
,Cameron Maybin,15,R/R,"6' 3""",215,04/04/1987,70,60,50,58,45,48,71,36,72,75,60,,,,,
,Nico Hoerner,2,R/R,"6' 1""",200,05/13/1997,69,62,64,42,40,75,60,50,60,75,46,,,,,
Right Field,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Jason Heyward,22,L/L,"6' 5""",240,08/09/1989,84,88,32,80,44,69,79,96,83,54,14,,,,,
,Cameron Maybin,15,R/R,"6' 3""",215,04/04/1987,70,60,50,58,45,48,71,36,72,75,60,,,,,
,Ian Happ,8,S/R,"6' 0""",205,08/12/1994,81,76,78,90,58,47,64,51,66,61,23,,,,,
Designated Hitter,,NUM,B/T,HT,WT,DOB,OVERALL,CONTACT R,CONTACT L,POWER R,POWER L,VISION,FIELDING,ARM STR,REACTION,SPEED,STEALING,,,,,
,Victor Caratini,7,S/R,"6' 1""",215,08/17/1993,74,63,58,55,47,62,67,63,62,17,2,,,,,
,Willson Contreras,40,R/R,"6' 1""",225,05/13/1992,83,73,67,76,72,47,55,84,46,61,10,,,,,
,Kyle Schwarber,12,L/R,"6' 0""",225,03/05/1993,82,55,35,97,72,34,69,66,73,50,6,,,,,
,José Martínez,53,R/R,"6' 6""",215,07/25/1988,73,78,90,51,70,67,40,59,42,36,6,,,,,
exit
